"f_RT","f_Hu","h_RT","h_Hu","n_RT","n_Hu","s_RT","s_Hu","p_RT","p_Hu","VP","PH","PSW","PSS","PSS_squared","PSS1:1","PSS2:1","PSS3:1","PSS4:1","PSS5:1","PSS6:1","PSS7:1","PSS8:1","PSS9:1","PSS10:1","Confound_h_p","Confound_h_n","Confound_h_s","Confound_h_f","Confound_f_p","Confound_f_n","Confound_f_s","Confound_f_h","Confound_p_f","Confound_p_n","Confound_p_s","Confound_p_h","Confound_s_f","Confound_s_n","Confound_s_p","Confound_s_h","Confound_n_f","Confound_n_s","Confound_n_p","Confound_n_h","h_Hu_arcs","p_Hu_arcs","n_Hu_arcs","s_Hu_arcs","f_Hu_arcs","mean_Hu","gender","sex","age","Stress_Terzil","exp","catchtrials_corr"
685.6,0.81,460.75,0.4711538461538461,291.375,1.0,721.4,0.81,851.1111111111111,0.25,33,9,3,12,144,1,1,2,1,0,2,1,1,2,1,0.125,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565359836018521,0.5235987755982988,1.570796326794897,1.119769514998634,1.119769514998634,0.6682307692307693,"m",2,21,"1=low","wot",100.0
1006.666666666667,1.0,1221.666666666667,0.8181818181818182,530.8888888888889,1.0,724.625,1.0,855.3,0.8,34,10,7,17,289,2,1,2,1,2,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.130285663790198,1.10714871779409,1.570796326794897,1.570796326794897,1.570796326794897,0.9236363636363636,"w",1,38,"2=medium","wot",100.0
635.6666666666666,0.6805555555555556,270.1,0.81,233.1111111111111,1.0,231.0,0.6805555555555556,348.1111111111111,0.7901234567901234,35,9,3,12,144,1,2,2,1,1,2,0,1,2,0,0.1,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.119769514998634,1.09491407713448,1.570796326794897,0.9701277283473332,0.9701277283473332,0.7922469135802469,"w",1,21,"1=low","wot",100.0
1030.555555555556,0.9,887.3333333333334,0.5444444444444444,721.3,1.0,963.4444444444445,0.8888888888888888,1325.5,0.4464285714285715,36,15,10,25,625,2,3,3,3,3,3,2,2,2,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299013445877219,0.731723705346514,1.570796326794897,1.230959417340775,1.249045772398254,0.7559523809523809,"w",1,29,"3=high","wot",100.0
1780.222222222222,0.06349206349206349,1588.7,0.3266666666666667,1692.222222222222,0.2,899.5,0.675,1164.125,0.01785714285714286,37,15,8,23,529,2,3,3,2,2,2,3,1,3,2,0.1,0.1,0.0,0.1,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.875,0.1,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.608390635841969,0.1340315614112191,0.4636476090008061,0.9641837152202035,0.2547219244059465,0.2566031746031746,"m",2,18,"3=high","wot",75.0
431.6666666666667,0.6049382716049383,536.3333333333334,0.5470085470085471,344.8888888888889,1.0,407.2,0.64,441.625,0.28125,38,8,3,11,121,2,1,2,0,1,1,1,1,1,1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.625,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8324762404293332,0.5589898660249855,1.570796326794897,0.9272952180016123,0.8911225078866527,0.614639363722697,"m",2,39,"1=low","wot",100.0
799.3333333333334,0.6049382716049383,792.2,0.1777777777777778,659.0,0.8888888888888888,763.5,0.7692307692307693,731.75,0.07142857142857142,39,16,9,25,625,3,2,3,2,2,2,2,3,4,2,0.5,0.0,0.1,0.0,0.0,0.0,0.2222222222222222,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.4352499069769653,0.2705497629785729,1.230959417340775,1.069703313529539,0.8911225078866527,0.5024528557861891,"w",1,20,"3=high","wot",100.0
1039.625,0.1666666666666667,1440.888888888889,0.06349206349206349,1249.2,0.7,453.8,0.45,1230.25,0.2,40,14,9,23,529,3,3,3,3,3,2,1,2,1,2,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2547219244059465,0.4636476090008061,0.9911565864311923,0.7353144528166684,0.4205343352839651,0.316031746031746,"w",1,21,"3=high","wot",100.0
763.5,0.4923076923076923,793.125,0.3472222222222222,710.875,1.0,540.1,0.3571428571428572,467.2,0.4,41,13,7,20,400,3,2,2,1,1,2,3,2,3,1,0.375,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301372460645644,0.684719203002283,1.570796326794897,0.6405223126794245,0.7777055522287261,0.5193345543345543,"m",2,19,"2=medium","wot",100.0
1734.111111111111,1.0,721.0,0.5818181818181818,865.8888888888889,1.0,789.8888888888889,1.0,1111.111111111111,0.5,42,11,6,17,289,2,1,2,1,1,2,3,1,3,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8675859554127737,0.7853981633974484,1.570796326794897,1.570796326794897,1.570796326794897,0.8163636363636364,"m",2,27,"2=medium","wot",100.0
636.1111111111111,0.8888888888888888,586.5555555555555,0.6805555555555556,517.3,1.0,419.75,0.8,702.2222222222222,0.6049382716049383,43,14,7,21,441,2,2,3,1,2,2,2,2,3,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701277283473332,0.8911225078866527,1.570796326794897,1.10714871779409,1.230959417340775,0.7948765432098766,"w",1,27,"3=high","wot",100.0
1012.2,0.8,966.8888888888889,0.4444444444444444,394.875,0.8888888888888888,493.1,0.81,1703.5,0.5,44,11,7,18,324,2,2,3,1,1,1,3,2,2,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7297276562269663,0.7853981633974484,1.230959417340775,1.119769514998634,1.10714871779409,0.6886666666666666,"m",2,18,"2=medium","wot",100.0
558.5,1.0,418.2222222222222,0.7777777777777778,404.3333333333333,1.0,555.3333333333334,1.0,450.125,0.8,45,15,7,22,484,2,2,3,2,2,4,1,2,2,2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079913648505585,1.10714871779409,1.570796326794897,1.570796326794897,1.570796326794897,0.9155555555555555,"w",1,25,"3=high","wot",100.0
874.7777777777778,0.253968253968254,1440.777777777778,0.5444444444444444,872.375,1.0,844.0,0.4083333333333333,516.8,0.5444444444444444,46,8,8,16,256,1,1,2,2,1,1,3,2,3,0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299013445877219,0.8299013445877219,1.570796326794897,0.6932100678794657,0.528168925616855,0.5502380952380952,"m",2,22,"2=medium","wot",100.0
764.375,0.5625,761.3333333333334,0.4537037037037037,401.8,1.0,646.375,0.6805555555555556,938.0,0.2666666666666667,47,12,6,18,324,2,3,2,1,2,2,1,2,2,1,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73903545788562,0.5426391022496526,1.570796326794897,0.9701277283473332,0.848062078981481,0.5926851851851852,"m",2,28,"2=medium","wot",100.0
1183.666666666667,0.7777777777777778,787.0,0.6666666666666666,449.5,1.0,826.4,0.9090909090909091,1042.125,0.4,48,15,6,21,441,1,3,3,2,2,3,0,2,1,4,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553166181245093,0.684719203002283,1.570796326794897,1.264518957625227,1.079913648505585,0.7507070707070707,"w",1,40,"3=high","wot",100.0
1257.2,0.7111111111111111,2041.2,0.9,1322.111111111111,1.0,1365.444444444444,0.7111111111111111,2231.0,0.8888888888888888,49,13,6,19,361,2,3,2,1,1,2,2,2,2,2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249045772398254,1.230959417340775,1.570796326794897,1.00334585151606,1.00334585151606,0.8422222222222222,"m",2,34,"2=medium","wot",100.0
805.1428571428571,0.5952380952380952,576.0,0.4,789.3,0.9,879.3333333333334,1.0,697.8,0.5818181818181818,50,11,6,17,289,1,2,2,1,2,2,2,1,2,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.684719203002283,0.8675859554127737,1.249045772398254,1.570796326794897,0.8812217608851566,0.6954112554112555,"w",1,34,"2=medium","wot",100.0
